Company,Date,Assets,CashAndCashEquivalentsAtCarryingValue,CostOfRevenue,EarningsPerShareDiluted,GrossProfit,Liabilities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,Revenues,StockholdersEquity
Tesla,2015-12-31,N/A,1196908000,3122522000,-6.93,923503000,N/A,N/A,N/A,N/A,-888663000,1640132000,-716629000,4046025000,N/A
Tesla,2016-03-31,N/A,N/A,N/A,N/A,252468000,N/A,N/A,N/A,N/A,-282267000,N/A,N/A,1147048000,N/A
Tesla,2016-06-30,N/A,N/A,N/A,N/A,274776000,N/A,N/A,N/A,N/A,-293188000,N/A,N/A,1270017000,N/A
Tesla,2016-09-30,N/A,N/A,N/A,N/A,636735000,N/A,N/A,N/A,N/A,21878000,N/A,N/A,2298436000,N/A
Tesla,2016-12-31,22664076000,3393000000,5400875000,-4.68,435278000,16750167000,3743976000,-1081085000,-123829000,-121337000,2266597000,-667340000,2284631000,4752911000
Tesla,2017-03-31,N/A,4006593000,2028324000,-2.04,667946000,N/A,N/A,N/A,N/A,-330277000,925495000,-257549000,2696270000,N/A
Tesla,2017-06-30,N/A,3035924000,2122942000,-2.04,666615000,N/A,2027516000,-2039631000,-269983000,-336397000,907531000,-240916000,2789557000,N/A
Tesla,2017-09-30,N/A,3530030000,2535535000,-3.7,449140000,N/A,4129022000,-3284358000,-570545000,-619376000,984620000,-535480000,2984675000,N/A
Tesla,2017-12-31,28655372000,3368000000,9536000000,-11.83,438786000,23022980000,4415000000,-4196000000,-61000000,-675350000,3855000000,-1632000000,3288249000,4237242000
Tesla,2018-03-31,27271429000,2665673000,2952225000,-4.19,456000000,21551021000,371660000,-728637000,-398376000,-709000000,1053500000,-596974000,3409000000,4450695000
Tesla,2018-06-30,27910000000,2236424000,3383301000,-4.22,619000000,22642887000,770282000,-1411454000,-528040000,-718000000,1240322000,-621392000,4002000000,3906421000
Tesla,2018-09-30,29262713000,2967000000,5300000000,1.75,1524000000,23409144000,686000000,-1972000000,863000000,311000000,1108000000,416000000,6824000000,4508838000
Tesla,2018-12-31,29740000000,3686000000,17419000000,-1.14,1443000000,23427000000,574000000,-2337000000,2098000000,140000000,4430000000,-388000000,7226000000,4923000000
Tesla,2019-03-31,28912524000,2198000000,3975000000,-4.1,566000000,22874618000,-653000000,-306000000,-640000000,-702000000,1088000000,-522000000,4541000000,4605596000
